prompt,target_token,loss,perplexity
Greek Prime Minister Kyriakos Mitsotakis has asked for forgiveness from the families of the 57 victims of this week's train crash.,train,21.921875,10000.0
DUP Leader says his party is happy to be involved in talks with,all,5.54296875,255.43519818017026
This year's Glastonbury festival features,Arctic,7.125,1242.6481670549958
Travis King is a,US,6.67578125,792.9667171920373
The Northern Ireland Human Rights Commission reported that,many,5.03125,153.12429849019884
This year's Glastonbury festival features,Arctic,7.125,1242.6481670549958
"Catherine, Princess of Wales, made a surprise appearance playing the piano during the opening performance of Eurovision.",Catherine,5.46484375,236.23893989057657
Madonna said she is on the road to recovery after,a,2.728515625,15.310144149387147
John McKenna was a player for,Scotby,9.796875,10000.0
Kim Jong Un is known to be a,heavy,4.86328125,129.44825810694724
HS2 has been beset by,delays,1.4208984375,4.140839054618093
Buzzfeed's chief executive has said,Jonah,10.921875,10000.0
Former BBC Radio 1 DJ Tim Westwood has been questioned twice under police caution over,five,10.296875,10000.0
Dame Deborah James was the host of the BBC's,You,8.5625,5231.744197360583
The NI commissioner for older people welcomed,a,3.001953125,20.124804822565828
King Charles and Queen Camilla were crowned in,Westminster,0.232666015625,1.2619599340365653
TikTok will now offer users,another,7.7890625,2414.0533459882777
"Two Greek air force pilots have died after a plane crashed while fighting wildfires on the Greek island of Evia, officials say.",Evia,8.640625,5656.864259972339
Zakhar Prilepin is one of Russia's most celebrated,authors,6.32421875,557.921766975976
The UK is set to review the artificial intelligence (AI) market to make sure,its,4.83984375,126.44959243764188
The 2024 County Championship campaign begins on,Friday,1.740234375,5.698678894031116
Prince Harry unexpectedly appeared at the High Court as legal proceedings began over alleged phone-tapping and other breaches of privacy.,Prince,7.61328125,2024.911449616353
"In local elections in Northern Ireland, Sinn Féin has",made,1.7666015625,5.850935497140565
"Leslie Van Houten, a former follower of Charles Manson, has been released on parole after serving",more,3.3984375,29.9173176993003
Malcolm Myers says his hero is,Buddy,9.3359375,10000.0
Real Madrid's Karim Benzema scored his 90th goal in the competition with a,tap-in,6.88671875,979.1831953507051
The Chief Inspector of Constabulary has warned that time is running out if the police and the government are to restore public trust in policing.,public,16.9375,10000.0
Members of the Royal College of Nursing and the Royal College of Midwives have voted to accept a new pay offer from the Scottish government.,a,14.2421875,10000.0
"Jason, six-months old, is currently up for adoption at",All,8.65625,5745.946909852821
Oil prices have risen after Saudi Arabia said it would make cuts of a million barrels per day in July.,cuts,14.515625,10000.0
The railway crossing upgraded with new safety barriers in Aviemore is called,Dalfaber,5.0859375,161.73149145963927
Andy Murray led Greek fifth seed Stefanos Tsitsipas in a Centre Court thriller,in,2.83984375,17.113091407702502
The undetonated explosive found in Belgorod may have come from,the,1.3505859375,3.8596864032691944
President Joe Biden is calling for,a,1.3828125,3.986096774117403
David Trimble and John Hume were leaders of,the,0.56298828125,1.755911826494893
The crash caused damage to the,barrier,5.65234375,284.95855538715824
Melissa Caddick went missing in,2020,1.189453125,3.285284076295652
"Kate Forbes, who finished second to Humza Yousaf in the SNP leadership race, has announced that she is leaving the Scottish government.",leaving,16.375,10000.0
"Iran's Revolutionary Guards say seven officers have been killed in an Israeli strike on the Iranian consulate building in Syria's capital, Damascus.",Iran's,5.82421875,338.3966573919768
The Euclid telescope is a,€1.4bn,6.8046875,902.06583030563
Protester Matt Turnbull is one of the,people,2.48828125,12.040563607027826
Manchester City delivered a masterclass to overwhelm Premier League leaders,Arsenal,1.849609375,6.357335703253365
Nick Kyrgios has withdrawn from Wimbledon 2023 with a,wrist,7.2578125,1419.1487514060357
The jailed Russian opposition leader is,Alexei,12.4375,10000.0
The day's coverage was edited by,Heather,0.1571044921875,1.1701178756895652
Rishi Sunak has reiterated that the UK discourages the use of,cluster,7.859375,2589.901181228831
Rishi Sunak has refused to say whether Tory MPs accused of undermining the Commons Partygate inquiry into Boris Johnson should apologise.,whether,18.640625,10000.0
Violence has erupted across France since the killing of a 17-year-old during a traffic stop on Tuesday,a,10.5234375,10000.0
"Brian May, the guitarist who wrote the song",We,6.30078125,544.9975231641602
Comedy legend Peter Sellers played the title role in Dr Strangelove,the,7.37890625,1601.8368003527937
David Carrick was sentenced to 36 life terms for,committing,9.2421875,10000.0
The DUP leader has said he is hopeful his party can get the progress it needs to go back into,power,1.6240234375,5.073462064379905
Japan's Prime Minister Fumio Kishida has been evacuated unharmed from a public event after,what,6.76953125,870.9035622506929
"Tennis star Elina Svitolina, Chelsea footballer Mykhailo Mudryk and others responded with",Glory,14.90625,10000.0
Ukraine's President Volodymyr Zelensky has been in the UK for talks with,the,3.044921875,21.008389858307645
Andy Murray led Greek fifth seed Stefanos Tsitsipas in a Centre Court thriller,in,2.83984375,17.113091407702502
"Actress Angela Thorne, best-known for starring in To The Manor Born, has died aged 84",84,7.328125,1522.524360828172
Sir Jacob Rees-Mogg's show on GB News is,one,2.9921875,19.929230034775262
A maths teacher was wounded at Tewkesbury Academy,at,6.72265625,831.021984515923
Nominations for those seeking to stand in May's local government elections have closed.,nominations,18.59375,10000.0
Temperatures in southern Europe are expected to peak,on,3.05078125,21.131847230940878
Biden spoke of threats to,democracy,1.8447265625,6.326369687163964
Band member Ian 'H' Watkins refused to perform in Dubai because of,the,0.80859375,2.244749087691627
"Water cremation, also known as resomation, is set to be made available for the first time in the UK.",resomation,20.546875,10000.0
The prime suspect in the disappearance of Madeleine McCann will not face German charges for alleged,rape,2.056640625,7.819656478407973
Erin Harvey lost her youngest son in a caravan fire and has been diagnosed with,terminal,5.08203125,161.10096012939127
"""It's a bit scary isn't it after only two weeks to see those results.""",two,12.984375,10000.0
For Dads By Dads runs a programme to educate,new,2.712890625,15.072782365110845
A five-month-old baby was taken to hospital after a dog attack,a,7.609375,2017.01706801857
Researchers in Cambridge are developing gene-edited potatoes that,don't,3.765625,43.19069160819034
Raymond Beggs and Noreen Kelly are,from,8.625,5569.162708566004
The former prime minister has not handed over,any,2.888671875,17.969428099556087
A million people are without power across Ukraine after,Russian,3.580078125,35.87634357692165
Australia retained the Women's Ashes with a dramatic three-run victory over England,England,9.0078125,8166.637202491364
Relations between Beijing and Washington have,plummeted,2.884765625,17.89937193856263
The NHS Confederation warns that,up,5.359375,212.59203489720244
"Late on Thursday night, the Israel Defense Forces (IDF) convened a meeting for a group of international journalists at the",defence,5.75390625,315.42036776119477
A house on the Thames in south east London sold for,£1.5m,0.65576171875,1.9266094931688238
Queen Elizabeth II's funeral and events during the period of national mourning cost the government an estimated,£162m,0.0560302734375,1.0576297013386289
Prime Minister Rishi Sunak has faced calls to be more open about his,financial,3.17578125,23.94552000018515
Director Shekhar Kapur says Hollywood's push to cast,actors,3.18359375,24.133327041205547
Ms Frendo said Saul was,the,3.35546875,28.65903496526287
Those suffering from mental health and back issues account for many on long-term sick,mental,15.78125,10000.0
Snowmelt has caused massive flooding in,Alaska,6.4765625,649.7336437102142
