prompt,target_token,loss,perplexity
The Greek Prime Minister has asked for forgiveness from the families of the victims of the train crash,Mitsotakis,12.3125,10000.0
The leader of the DUP is,Donaldson,9.4921875,10000.0
The iconic festival is,Glastonbury,11.0,10000.0
The US soldier who crossed the border without authorization is,King,12.21875,10000.0
The report was carried out by the Northern Ireland Human Rights Commission,NIHRC,8.125,3377.8679316735347
The iconic festival is,Glastonbury,11.0,10000.0
"Catherine, Princess of Wales, made a surprise appearance playing the piano during the opening performance of Eurovision","Catherine, Princess of Wales",14.8125,10000.0
The pop star has said she is,Madonna,11.9921875,10000.0
The footballer who died after falling from a hotel balcony in Ibiza is,McKenna,13.5078125,10000.0
British American Tobacco is to pay,$635m (£512m) plus interest to US authorities,1.87109375,6.495396855827752
The government has announced a delay in the construction of the HS2 high speed railway,HS2,12.265625,10000.0
The CEO of Buzzfeed has announced,Peretti,14.1328125,10000.0
The former BBC Radio 1 DJ is,Westwood,12.2734375,10000.0
"The cancer campaigner, blogger, broadcaster and former teacher, Dame Deborah James, has died aged",40,0.0128936767578125,1.012977158618173
The commissioner for older people in Northern Ireland is,Lynch,14.140625,10000.0
The Coronation Ceremony was held in,Westminster Abbey,0.849609375,2.338733105852106
The Chinese-owned video streaming app is,TikTok,7.8671875,2610.214027948303
"Two Greek air force pilots have died after a plane crashed while fighting wildfires on the Greek island of Evia, officials say.",Moulas and Stefanidis,15.7421875,10000.0
The Russian pro-war writer who was injured in a car bombing is,Prilepin,14.5546875,10000.0
The UK competition watchdog is investigating the AI market to ensure its benefits are accessible to everyone and prevent any single firm from dominating,CMA,12.078125,10000.0
The upcoming County Championship campaign begins on,Friday,2.923828125,18.61240185635776
The Duke of Sussex appeared at the High Court,Sussex,15.1953125,10000.0
"Counting is continuing in local elections in Northern Ireland, with nearly half of the seats filled",Northern Ireland,15.6875,10000.0
The former member of the 'Manson family' has been released on parole,Van Houten,18.71875,10000.0
A man who was trapped under a fallen tree branch was saved by his dog,Myers,11.8984375,10000.0
The current Prime Minister of Greece is,Mitsotakis,9.0859375,8830.240235797572
The Chief Inspector of Constabulary has warned that,Cox,7.27734375,1447.138952485479
The Royal College of Nursing and the Royal College of Midwives have voted to accept a new pay offer from the Scottish government,Mitsotakis,13.015625,10000.0
A six-month-old puppy is up for adoption at,All Dogs Matter,9.390625,10000.0
Oil prices have risen after Saudi Arabia said it would make cuts of a million barrels per day in July,Saudi Arabia,9.3046875,10000.0
The crossing is part of the Strathspey Railway,Strathspey Railway,10.28125,10000.0
The British tennis player who led Stefanos Tsitsipas in a Centre Court match at Wimbledon is,Murray,9.609375,10000.0
The Russian city of Belgorod has experienced an undetonated explosive,Belgorod,14.5703125,10000.0
The US President's call for a ceasefire in Gaza is the lead in the Guardian and the Telegraph,Biden,11.171875,10000.0
The Concert for Yes took place in front of,"2,000 schoolchildren",1.0615234375,2.8907715462075623
A lorry crashed into a barrier on the M1 in Leicestershire,lorry,11.2421875,10000.0
The conwoman who vanished in 2020 is,Caddick,9.703125,10000.0
The Scottish finance secretary who finished second in the SNP leadership race is,Forbes,15.2578125,10000.0
The Iranian Revolutionary Guards have reported,casualties,7.8828125,2651.318917809312
The €1.4bn telescope is,Euclid,11.421875,10000.0
The leader of a prominent anti-monarchy group is,Turnbull,15.578125,10000.0
The match between Manchester City and Arsenal ended with a score of,4-1,0.04742431640625,1.0485668388114624
The Australian tennis player Nick Kyrgios has withdrawn from Wimbledon 2023 due to a wrist injury,Kyrgios,11.5390625,10000.0
The jailed Russian opposition leader is,Navalny,14.1953125,10000.0
The news coverage was edited by,Sharp,6.74609375,850.7291029602534
The UK has banned the use of cluster bombs under an existing convention,Mitsotakis,13.4609375,10000.0
The Prime Minister of the United Kingdom is,Sunak,8.7265625,6164.501175517202
The 17-year-old was shot at point-blank range as he drove off and crashed,M,11.5546875,10000.0
The guitarist who wrote the song and shared the Queen's moniker has been knighted,May,14.171875,10000.0
The director of Dr Strangelove is,Kubrick,7.1015625,1213.8622532693157
The former police officer was sentenced to,36 life terms,1.5322265625,4.628470937623432
The DUP leader has expressed hope for his party's return to power sharing,Donaldson,15.4140625,10000.0
Japan's Prime Minister has been evacuated from a public event,Kishida,14.140625,10000.0
The Ukrainian tennis player is,Svitolina,16.1875,10000.0
Ukraine's President is,Zelensky,9.078125,8761.522761105713
The British tennis player who led Stefanos Tsitsipas in a Centre Court thriller at Wimbledon is,Murray,10.765625,10000.0
The actress known for starring in To The Manor Born is,Thorne,12.1640625,10000.0
The media expert who drew up the UK's broadcasting rules is,Banatvala,16.984375,10000.0
A teenage boy has been charged after a teacher was stabbed in a corridor at a school.,charged,16.953125,10000.0
The local government elections in Northern Ireland are,Nominations,12.28125,10000.0
The current Prime Minister of Greece is,Mitsotakis,9.0859375,8830.240235797572
The US President spoke of threats to democracy during a speech,Biden,9.59375,10000.0
The band member who spoke out against the show in Dubai is,Watkins,10.3671875,10000.0
The UK will offer,water cremation,9.7734375,10000.0
The prime suspect in the disappearance of Madeleine McCann is,Brueckner,9.5703125,10000.0
"Erin Harvey, a mum who lost her youngest son in a caravan fire, has been diagnosed with terminal cancer and has been given months to live",Harvey,13.578125,10000.0
"Aimee, a 24-year-old woman, participated in a study",Aimee,11.2421875,10000.0
The programme for new and expectant dads is run by,Dads By Dads,5.43359375,228.97063181940615
A five-month-old baby was taken to hospital after a dog attack,dog attack,11.1875,10000.0
Researchers in Cambridge are developing,gene-edited potatoes,7.2734375,1441.4970923843368
The strike is being led by teachers from,St Mark's High School,6.63671875,762.5886393094895
The former Prime Minister of the UK has not handed over any messages from before April 2021,Johnson,12.6171875,10000.0
A million people are without power across Ukraine after Russian missiles targeted energy infrastructure,Ukraine,10.2265625,10000.0
The Women's Ashes were retained by,Australia,2.72265625,15.220698576992893
The US Secretary of State has met with China's President,Blinken Xi,9.265625,10000.0
The NHS Confederation warns that,could be postponed,9.9921875,10000.0
The IDF's drone operators mistook an aid worker carrying a bag for a gunman,Har-Even,12.9765625,10000.0
The house in south east London has sold for,£1.5m,0.51806640625,1.6787784338921328
The government's expenditure on Queen Elizabeth II's funeral and events during the national mourning period was,£162m,0.75,2.117000016612675
The current Prime Minister of the UK is,Sunak,7.58984375,1978.0044264076564
Director Shekhar Kapur has said Hollywood's push for more diverse casts has come from its guilt over,ethnic minority actors,7.76953125,2367.3613276063093
The mother of the teenager who died in the accident said,Frendo,12.5859375,10000.0
"Emma, a woman from north Wales, has been on long-term sick leave and has lost her self-esteem and confidence",Emma,13.0390625,10000.0
The state governor of Alaska has declared,a disaster declaration,0.297119140625,1.3459756502759677
The head of the UK's second largest union is,Graham,13.4921875,10000.0
"A large tree has fallen in Killyleagh, County Down",Killyleagh,13.1640625,10000.0
The current Welsh Labour leader is,Drakeford,15.2734375,10000.0
The UK's largest ever crackdown on organised crime was carried out by,Dorset Police,10.5625,10000.0
Storm Noa caused,power outages and blocked roads,4.828125,124.97641006343288
The ECB chief executive is,Gould,8.8125,6717.692523019596
The longest battle of the war that Russia launched last year is for the city of,Bakhmut,5.078125,160.47288700783744
Police have charged 24 people after animal rights protesters tried to disrupt the Scottish Grand National,Scottish Grand National,13.640625,10000.0
The home of the former first minister was searched for two days at the start of March,Sturgeon,12.5546875,10000.0
The Iranian TV host who was stabbed in London is,Zeraati,6.7265625,834.2745126010524
The latest on this story can be found at,BBC Action Line,4.3984375,81.32370105824417
Eleanor Williams was found guilty of,eight counts of perverting the course of justice,4.6171875,101.20898120494374
The former Prime Minister of the UK is,Johnson,13.25,10000.0
The Prime Minister of the UK has spoken to leaders at the England and Wales Cricket Board,Sunak,13.484375,10000.0
The publisher of the Mirror newspapers has made a court apology to the former Coronation Street actor,Sanderson,7.65625,2113.8157381974315
The final goal of the match was scored by,Sarmiento,5.671875,290.5788592888401
The EU has suspended all security cooperation with Niger after the country's army took power in a coup,Niger,13.3359375,10000.0
The Bank of England is,raising rates,4.07421875,58.80452160545304
The water company that has defaulted on its debt is,Thames Water,7.08203125,1190.3840319876622
The new leader of the SNP is,Yousaf,8.5703125,5272.7772756597515
The artwork has been unveiled in a park in east Belfast,Orangefield Park,16.046875,10000.0
The mayor of a small town in Mexico has,Sosa,12.8125,10000.0
The actor who plays Willy Wonka in the movie is,Chalamet,13.78125,10000.0
The Orkney councillors have voted to,investigate alternative methods of governance,5.46484375,236.23893989057657
Chinese authorities have warned of,natural disasters,9.78125,10000.0
The former Prime Minister of the UK has not handed over any messages from before April 2021,Johnson,12.6171875,10000.0
A missing 17-year-old boy was found dead in a quarry,Burwell,15.515625,10000.0
A 17-year-old boy was pulled from the water near Bournemouth Pier,Abbess,14.6796875,10000.0
The UK Health and Security Agency has stated that,UKHSA,6.61328125,744.923292506519
The previous title-holder of the world's oldest man is,Pérez Mora,15.8671875,10000.0
The first Coronation in 70 years was,"a sumptuous, seamless and often surreal ceremony",1.73828125,5.687559524110652
The former President of the United States is,Trump,9.3359375,10000.0
The accused man in the fire case is,Allen,10.296875,10000.0
The commemorations of Victory Day in Berlin were attended by,Russian communities,2.607421875,13.564035954639001
A woman has been arrested on suspicion of causing death by dangerous driving,woman,16.203125,10000.0
Reality TV contestant Stephen Bear has been jailed for,21 months,2.5546875,12.867278004795136
The oil and gas company has reported a profit of,$9.6bn,1.0830078125,2.9535499285563844
The Broadcasting Press Guild has announced,award,7.68359375,2172.4128689866334
A Romanian man has pleaded guilty to the manslaughter of,39 Vietnamese migrants,3.486328125,32.66578255521719
A selection of pictures of Scotland sent in between 16 and 23 June,Scotland,10.2578125,10000.0
The current Prime Minister of the UK is,Sunak,7.58984375,1978.0044264076564
The Australian police have stopped a major drug bust involving,cocaine,3.30078125,27.133828946090556
The Russian President has visited,Putin,8.9296875,7552.904724691445
The current Premier League club is,Manchester United,3.923828125,50.5937537501147
The political party that has been protesting against post-Brexit trade arrangements is,DUP,8.25,3827.6258214399063
Police in major US cities are preparing for potential unrest in case ex-President is arrested,Trump,7.8359375,2529.90618498386
The comedy festival in Melbourne has decided to rename its award,Barry Award,13.0078125,10000.0
The Emmy-award winning actor was charged with,involuntary manslaughter,6.55078125,699.7906717746478
The song Nothing Compares 2 U was recorded by,O'Connor,9.5390625,10000.0
The actor Hugh Grant is,Grant,13.046875,10000.0
The US superstar singer will be performing in Cardiff next June,Swift,17.0,10000.0
The Swedish climate activist arrested by Dutch police is,Thunberg,9.7109375,10000.0
The brother of television presenter Phillip Schofield has been found guilty of,sexual offences,3.994140625,54.27917440928786
The mother of Gogglebox star George Gilbey is,McGarry,16.875,10000.0
Shares in regional banks in the US have dropped sharply,US,12.4375,10000.0
Police have arrested a group of protesters in Piccadilly,Piccadilly,13.7109375,10000.0
The American pop star who entered the Forbes World's Billionaires List for the first time is,Swift,10.328125,10000.0
The care home industry in Scotland is facing,closures,9.40625,10000.0
The UK Prime Minister has announced,Sunak,11.640625,10000.0
The number of people living with major illnesses in England will rise,nine times faster than the healthy working age population,9.109375,9039.643348424153
The family of a teenager who fell ill on holiday in Spain has booked a medical flight,Duthie,15.4609375,10000.0
The UK has evacuated,536 people,2.341796875,10.399907116482579
The film 'Barbenheimer' has had a successful opening weekend with,£30m,4.51953125,91.79256012938836
Protesters in Tehran have condemned the strike on their consulate in Damascus,Razavi,18.71875,10000.0
People use boats on Chidorigafuchi to view,cherry blossoms,2.734375,15.400115355370453
The manager of Leicester City has been sacked,Rodgers,17.953125,10000.0
"The Pope's puffa jacket, a student avoiding a parking ticket, a dry government document and Elon Musk warning the robots might come for us are all examples of",AI,5.75,314.1906602856942
"The siblings who died in the crash in Strabane, County Tyrone, are",McKane,11.140625,10000.0
The late soul star behind hits like The Best and What's Love Got to Do With It is,Turner,12.3828125,10000.0
The President of Ukraine has condemned the shelling in Slovyansk,Zelensky,15.4765625,10000.0
The comedian known for his prank interviews and spoof character is,Ali G,11.796875,10000.0
The trust that carried out the Caesareans is,East Kent Hospitals University NHS Trust,9.484375,10000.0
The Danish far-right politician who threatened to burn a copy of the Quran in Wakefield is,Paludan,13.7734375,10000.0
The current Prime Minister of the UK is,Sunak,7.58984375,1978.0044264076564
The whales stranded on Lewis will be moved to a landfill in Stornoway for post-mortem examinations,Stornoway,11.359375,10000.0
"The actor who played Fezco 'Fez' O'Neill on Euphoria has died, aged 25.",Cloud,14.9296875,10000.0
The royal couple met,Charles and Camilla,7.48046875,1773.0717085305068
A humpback whale has been rescued off Australia's Gold Coast,whale,9.703125,10000.0
Kyogo Furuhashi's performance against Rangers,Furuhashi,12.8359375,10000.0
The guitarist of Irish rock band The Script is,Sheehan,12.4296875,10000.0
Three people have been arrested by detectives investigating the murder of a woman outside a Merseyside pub on Christmas Eve,Edwards,19.5,10000.0
British Airways is cancelling,flights a day,1.6396484375,5.153357466495365
The Welsh rugby legend JPR Williams has called on the sport's chiefs to pay more attention to the links between concussion and the impact on players,Williams,19.078125,10000.0
The government has announced a ban on fees for disposing of DIY waste in England,DIY waste,15.5625,10000.0
The university that apologised for failing Romy is,University of Edinburgh,12.0078125,10000.0
The tennis player who will play Casper Ruud first on Centre Court is,Broady,9.640625,10000.0
The missing British rugby player was last seen in Barcelona,Davis,17.390625,10000.0
The current Premier of Alberta is,Smith,12.0078125,10000.0
A 13-year-old boy died after being hit by a car in Glasgow,Lushaku,11.8515625,10000.0
"The closing speeches of the Agreement 25 conference hailed the renewal of relationships between London, Dublin and Brussels.",Sunak,11.3359375,10000.0
"The price of milk has been reduced by at least 5p by Aldi, Lidl, Asda, Sainsbury's, and Tesco",milk,8.6171875,5525.823140529194
The Duke of Sussex has blamed alleged illegal intrusion into his private life by journalists for the break-up of his relationship with,Davy,10.3046875,10000.0
The singer is,Pink,9.359375,10000.0
The owner and chairman of Millwall is,Berylson,9.5078125,10000.0
A US policeman who saved a driver from a fiery crash has been hailed a hero.,Ashley Taylor,10.1875,10000.0
The British-born pensioner with Alzheimer's is,Poole,13.859375,10000.0
The US Supreme Court has struck down,student debt,12.5078125,10000.0
The former BBC Radio 1 DJ has been questioned under caution for alleged sex offences,Westwood,15.96875,10000.0
The actor who was found not guilty of causing grievous bodily harm is,Tompkinson,9.65625,10000.0
The Mayor of Amory is,Glenn,11.4921875,10000.0
The French striker who has signed for Chelsea is,Nkunku,7.90234375,2703.611497823697
The BBC presenter who tweeted about the government's asylum policy is,Lineker,18.265625,10000.0
"The local authority in Llanelli, Carmarthenshire, is",Carmarthenshire,13.359375,10000.0
The football club that won the Europa Conference League final is,West Ham,5.7734375,321.64147707721304
The former NHS chief executive is,Gilby,18.046875,10000.0
The US President is,Biden,10.53125,10000.0
The Health Secretary of the UK is,Barclay,10.359375,10000.0
The UK Prime Minister has urged all sides in Russia to,Sunak,16.765625,10000.0
The 17-year-old boy who was stabbed and later pronounced dead at the scene of a birthday party in north-west London has yet to be formally identified,has yet to be formally identified,10.53125,10000.0
The National League promotion final was won by,Notts County,4.8828125,132.00139622598326
The actor and former governor of California is,Schwarzenegger,17.390625,10000.0
The Lisburn man who has broken the world record for the longest drumming marathon is,Brown,16.65625,10000.0
"The killing of foreign aid workers in Gaza might finally exhaust the considerable patience of Israel's allies, led by the United States.",Israel's allies,4.96875,143.8469662358426
The former president is,Trump,10.0,10000.0
The chair of a major review into women's football is,Carney,11.40625,10000.0
The remains of British World War Two aircraft were found in a forest outside Kyiv,Hurricane,12.46875,10000.0
The founder of Help for Heroes is,Parry,13.2109375,10000.0
"A man has been rescued after falling into a well in Bordon, Hampshire",man,14.546875,10000.0
The Swedish Space Corporation is conducting experiments in,zero gravity,3.513671875,33.57131140436464
The director of the National Human Genome Research Institute is,Green,17.0,10000.0
The Grenfell Tower fire occurred in,June 2017,0.89794921875,2.4545641718612847
GPs in England may start offering weight-loss jabs to some patients to reduce obesity-related illnesses and resultant pressure on hospitals.,Mitsotakis,11.7265625,10000.0
A teenage boy is being questioned on suspicion of the attempted murder of a teacher who was stabbed at a school,Murder,16.4375,10000.0
The ex-health secretary is,Hancock,15.1796875,10000.0
The government is considering reclassifying a dangerous street drug from Class B to A,monkey dust,19.078125,10000.0
The Brazilian forward scored twice in the Copa del Rey final,Rodrygo,16.296875,10000.0
The Greek islands of Rhodes and Corfu are experiencing,fires,7.93359375,2789.433339318374
The child killer who murdered a seven-year-old girl in 1992 has been jailed for at least 29 years.,Boyd,12.171875,10000.0
The BBC has ended live coverage of the sentencing of Stephen Boden and Shannon Marsden,Boden,6.33984375,566.7077563764824
"The young son of the murdered soldier raised more than £50,000 for the charity",Rigby,6.765625,867.5082310343188
The UK Chancellor has expressed concerns about pay rises,Hunt,12.25,10000.0
The weather conditions in Spain include,"hail storms, heavy rain and flash flooding",5.73046875,308.1136628117644
A truck carrying live salmon crashed in Oregon,salmon,12.0859375,10000.0
The archaeologists believe the raised platform in the mausoleum was for,burials,6.390625,596.2291064528091
The new head of the probation service in England and Wales is,Kim Thornden-Edwards,12.3359375,10000.0
The artist who won a fan poll with more than one million votes is,Michael,7.06640625,1171.9288381599856
The chief executive of NatWest is,Rose,13.9453125,10000.0
People have used the relative lull in fighting to go outside their homes,outside their homes,8.9765625,7915.3761905655465
The UK government has changed its policy to allow,NHS doctors in Sudan to catch evacuation flights,5.44140625,230.76647074218755
The parents of the missing student Jack O'Sullivan are,O'Sullivan,11.6796875,10000.0
