prompt,target_token,loss,perplexity,primary_layer,layer_category
British American Tobacco is to pay,$635m (£512m) plus interest to US authorities,1.87109375,6.495396855827752,2,Validated (Trained)
"The cancer campaigner, blogger, broadcaster and former teacher, Dame Deborah James, has died aged",40,0.0128936767578125,1.012977158618173,7,Validated (Trained)
The Coronation Ceremony was held in,Westminster Abbey,0.849609375,2.338733105852106,Unknown,Unmapped
The upcoming County Championship campaign begins on,Friday,2.923828125,18.61240185635776,Unknown,Unmapped
The Concert for Yes took place in front of,"2,000 schoolchildren",1.0615234375,2.8907715462075623,Unknown,Unmapped
The match between Manchester City and Arsenal ended with a score of,4-1,0.04742431640625,1.0485668388114624,Unknown,Unmapped
The former police officer was sentenced to,36 life terms,1.5322265625,4.628470937623432,Unknown,Unmapped
The Women's Ashes were retained by,Australia,2.72265625,15.220698576992891,Unknown,Unmapped
The house in south east London has sold for,£1.5m,0.51806640625,1.6787784338921328,Unknown,Unmapped
The government's expenditure on Queen Elizabeth II's funeral and events during the national mourning period was,£162m,0.75,2.117000016612675,Unknown,Unmapped
The state governor of Alaska has declared,a disaster declaration,0.297119140625,1.3459756502759677,Unknown,Unmapped
The first Coronation in 70 years was,"a sumptuous, seamless and often surreal ceremony",1.73828125,5.687559524110652,Unknown,Unmapped
The commemorations of Victory Day in Berlin were attended by,Russian communities,2.607421875,13.564035954639,Unknown,Unmapped
Reality TV contestant Stephen Bear has been jailed for,21 months,2.5546875,12.867278004795136,2,Validated (Trained)
The oil and gas company has reported a profit of,$9.6bn,1.0830078125,2.9535499285563844,Unknown,Unmapped
A Romanian man has pleaded guilty to the manslaughter of,39 Vietnamese migrants,3.486328125,32.66578255521719,2,Validated (Trained)
The Australian police have stopped a major drug bust involving,cocaine,3.30078125,27.13382894609056,Unknown,Unmapped
The UK has evacuated,536 people,2.341796875,10.39990711648258,Unknown,Unmapped
People use boats on Chidorigafuchi to view,cherry blossoms,2.734375,15.400115355370453,Unknown,Unmapped
British Airways is cancelling,flights a day,1.6396484375,5.153357466495365,28,Validated (Trained)
The Swedish Space Corporation is conducting experiments in,zero gravity,3.513671875,33.57131140436464,Unknown,Unmapped
The Grenfell Tower fire occurred in,June 2017,0.89794921875,2.4545641718612847,Unknown,Unmapped
The Brazilian President has pledged to end deforestation by,2030,0.1060791015625,1.1119098268326424,Unknown,Unmapped
The top court in Florida has,upheld the state's 15-week ban on abortion,2.873046875,17.690837939037834,Unknown,Unmapped
Prof Kathleen Stock is due to speak at the Oxford Union on,30 May,1.5400390625,4.664772485104432,1,Validated (Trained)
The campaign group is,calling for,0.7041015625,2.0220292017361423,Unknown,Unmapped
Alex Mackintosh visited,the Highland Folk Museum,1.1044921875,3.0176916581041597,Unknown,Unmapped
The United Nations has warned we now live in the era of,climate change,2.078125,7.9894745966477085,Unknown,Unmapped
The current monarch of the UK is,Charles,2.146484375,8.554730245048765,Unknown,Unmapped
The Russian defence ministry has reported,an attack on Moscow,3.796875,44.5617113320772,Unknown,Unmapped
The US's second-largest bank has been ordered to pay out,$150m,1.267578125,3.55223905718268,Unknown,Unmapped
Frontline staff vacancies account for,75%,1.27734375,3.587098828412054,1,Validated (Trained)
The last remnant of the 1958 British Empire and Commonwealth Games in Cardiff is,the velodrome at Maindy,3.4140625,30.388446900124176,Unknown,Unmapped
A man has been sentenced to,17 months in prison,1.947265625,7.009494765121929,Unknown,Unmapped
Germany's three remaining nuclear power plants were,shut down,1.30859375,3.700965568261892,Unknown,Unmapped
The parents of student Barnaby Webber who was stabbed to death in Nottingham on Tuesday have described him as,a lovely soul,0.82958984375,2.292378314123635,1,Validated (Trained)
Zak Crawley scored an astonishing,189,0.1610107421875,1.1746975875678365,Unknown,Unmapped
The WHO has declared that Covid-19 no longer represents a,global health emergency,0.424560546875,1.5289183840483784,Unknown,Unmapped
The age of criminal responsibility in Serbia is,14 years old,0.54541015625,1.7253158863669429,6,Validated (Trained)
The Acropolis is located in,Greece,3.66015625,38.867415430562446,Unknown,Unmapped
The Secret Garden Party is scheduled to take place from,20-23 July,0.474853515625,1.6077786657823514,Unknown,Unmapped
Junior doctors in Scotland have voted,in favour of a three-day strike,2.76953125,15.951155153095918,30,Validated (Trained)
The humanitarian situation in Gaza is,worsening,2.92578125,18.648789727196185,Unknown,Unmapped
The current vacancy rate for physiotherapy positions in Northern Ireland is,12%,0.99560546875,2.706362463211237,Unknown,Unmapped
The fourth Test of the Ashes series between England and Australia was played at,Old Trafford,2.72265625,15.220698576992891,Unknown,Unmapped
"The owner of Facebook, Meta, has been fined",€1.2bn,1.9423828125,6.975352140316971,Unknown,Unmapped
The UK government has yet to impose fines on,"companies linked to Abramovich, Gutseriev, and Deripaska",3.2578125,25.992616060150944,Unknown,Unmapped
"The fire on Sackville Close in King's Hedges, Cambridge, was caused by",an electric bike,1.86328125,6.44484927647148,Unknown,Unmapped
The vase is believed to be from the,Ming Dynasty,3.369140625,29.05354843314684,Unknown,Unmapped
The walkout by British Medical Association members is,the biggest by doctors in the history of the NHS,1.7158203125,5.561235592832448,Unknown,Unmapped
The Met Office has issued a yellow thunderstorm alert for,England and Scotland,3.470703125,32.159346537604755,Unknown,Unmapped
The current King of the United Kingdom is,Charles III,1.1123046875,3.0413597071177576,Unknown,Unmapped
The number of red squirrels on Anglesey has increased from,"40 to 1,000",0.78369140625,2.1895398470526897,Unknown,Unmapped
The current Emperor of Japan is,Naruhito,0.51708984375,1.6771398020712056,Unknown,Unmapped
The North American Nanohertz Observatory for Gravitational Waves (NANOgrav) Collaboration is chaired by,Dr Stephen Taylor,2.990234375,19.89034374461794,Unknown,Unmapped
Extinction Rebellion demonstrators took part in a rally,outside Parliament,1.943359375,6.982167334831573,24,Validated (Trained)
Adam Price became the leader of Plaid Cymru in,2018,0.50927734375,1.6640881965852845,Unknown,Unmapped
Mexican authorities have found,45 bags containing human remains,2.99609375,20.00723083572985,1,Validated (Trained)
The capital of Georgia is,Tbilisi,0.339111328125,1.4036996077597517,Unknown,Unmapped
The fire at the department store was contained in,two rooms,3.767578125,43.275130861102994,Unknown,Unmapped
Ukraine has moved its official Christmas Day state holiday from,7 January to 25 December,0.6826171875,1.9790505064651536,29,Validated (Trained)
Tony Johnson's partner said her family were,heartbroken and devastated,3.828125,45.97625189374871,Unknown,Unmapped
Transport for London's website shows,no services are running on any Tube lines,3.345703125,28.380523708580828,Unknown,Unmapped
The Russian forces damaged some 90% of residential buildings in,Mariupol,2.564453125,12.993550578338562,Unknown,Unmapped
The increase in deportation flights to Albania from the UK is due to,a joint co-operation agreement,1.78125,5.937273373745607,Unknown,Unmapped
The Illegal Migration Bill is,set to become law,3.6875,39.94485987582193,0,Validated (Trained)
The harbour in Pwllheli resembles,a dolphin,0.57958984375,1.7853060261353937,Unknown,Unmapped
