prompt,target_token,loss,perplexity
The Greek Prime Minister has asked for forgiveness from the families of the victims of the train crash,Mitsotakis,13.1171875,10000.0
The leader of the DUP is,Donaldson,13.8359375,10000.0
The iconic festival is,Glastonbury,10.828125,10000.0
The US soldier who crossed the border without authorization is,King,18.8125,10000.0
The report was carried out by the Northern Ireland Human Rights Commission,NIHRC,20.828125,10000.0
The iconic festival is,Glastonbury,10.828125,10000.0
"Catherine, Princess of Wales, played the piano",piano,11.1015625,10000.0
The pop star has said she is,Madonna,14.078125,10000.0
The footballer who died after falling from a hotel balcony in Ibiza is,McKenna,13.7109375,10000.0
British American Tobacco is to pay,$635m,0.1785888671875,1.1955291218634807
HS2's Birmingham to Crewe leg will be delayed,delayed,23.90625,10000.0
The CEO of Buzzfeed has announced,Peretti,22.84375,10000.0
The former BBC Radio 1 DJ is,Westwood,14.5703125,10000.0
"The cancer campaigner, blogger, broadcaster and former teacher, Dame Deborah James, has died aged",40,0.002620697021484375,1.0026241340497377
The commissioner for older people in Northern Ireland is,Lynch,9.09375,8899.49666832322
The Coronation Ceremony was held in,Westminster,2.5703125,13.069908149118522
The Chinese-owned video streaming app is,TikTok,7.57421875,1947.3383101792642
"Two Greek air force pilots have died after a plane crashed while fighting wildfires on the Greek island of Evia, officials say.",Moulas,18.03125,10000.0
The Russian pro-war writer who was injured in a car bombing is,Prilepin,16.46875,10000.0
The UK competition watchdog is investigating the AI market to ensure its benefits are accessible to everyone and prevent any single firm from dominating,CMA,16.75,10000.0
The upcoming County Championship campaign begins on,Friday,2.19921875,9.01796546113613
The Duke of Sussex appeared at the High Court,Sussex,26.515625,10000.0
Counting is continuing in local elections in Northern Ireland,elections,7.265625,1430.2792730137226
The former member of the 'Manson family' has been released on parole,Van,21.90625,10000.0
A man who was trapped under a fallen tree branch was saved by his dog,Myers,18.046875,10000.0
The current Prime Minister of Greece is,Mitsotakis,11.46875,10000.0
The Chief Inspector of Constabulary has warned that,Cox,12.1484375,10000.0
The Royal College of Nursing and the Royal College of Midwives have voted to accept a new pay offer from the Scottish government,Mitsotakis,14.1953125,10000.0
Jason is up for adoption,adoption,15.1640625,10000.0
Oil prices have risen after Saudi Arabia said it would make cuts of a million barrels per day in July,Saudi,39.9375,10000.0
The crossing is part of the Strathspey Railway,Strathspey,20.90625,10000.0
The British tennis player who led Stefanos Tsitsipas in a Centre Court match at Wimbledon is,Murray,13.4609375,10000.0
The Russian city of Belgorod has experienced an undetonated explosive,Belgorod,28.40625,10000.0
The US President's call for a ceasefire in Gaza is the lead in the Guardian and the Telegraph,Biden,27.34375,10000.0
The Concert for Yes took place in front of,2000,1.00390625,2.728920882726075
A lorry crashed into a barrier on the M1 in Leicestershire,lorry,19.984375,10000.0
The conwoman who vanished in 2020 is,Caddick,9.8359375,10000.0
The Scottish finance secretary who finished second in the SNP leadership race is,Forbes,15.6640625,10000.0
The Iranian Revolutionary Guards have reported,casualties,15.75,10000.0
The Euclid telescope,telescope,27.34375,10000.0
The leader of a prominent anti-monarchy group is,Turnbull,18.84375,10000.0
The match between Manchester City and Arsenal ended with a score of,4,0.0159454345703125,1.016073241420434
The Australian tennis player Nick Kyrgios has withdrawn from Wimbledon 2023 due to a wrist injury,Kyrgios,12.0546875,10000.0
The jailed Russian opposition leader is facing a new trial on charges of extremism,Navalny,23.390625,10000.0
The page will be closed,closed,19.453125,10000.0
The UK has banned the use of cluster bombs under an existing convention,Mitsotakis,20.796875,10000.0
The Prime Minister of the United Kingdom is,Sunak,13.9765625,10000.0
Violence has erupted across France,France,16.140625,10000.0
The guitarist who wrote the song and shared the Queen's moniker has been knighted,May,14.1328125,10000.0
The director of Dr Strangelove is,Kubrick,18.421875,10000.0
The former police officer was sentenced to,36,4.5234375,92.1518260518184
The DUP withdrew from the Stormont executive in February 2022,DUP,13.0546875,10000.0
Japan's Prime Minister has been evacuated from a public event,Kishida,21.015625,10000.0
The Ukrainian tennis player is,Svitolina,7.64453125,2089.1890389111236
Ukraine's President is,Zelensky,10.1953125,10000.0
The British tennis player who led Stefanos Tsitsipas in a Centre Court thriller at Wimbledon is,Murray,13.546875,10000.0
The actress known for starring in To The Manor Born is,Thorne,14.09375,10000.0
The media expert who drew up the UK's broadcasting rules is,Banatvala,16.8125,10000.0
A teenage boy has been charged after a teacher was stabbed in a corridor at a school.,charged,28.296875,10000.0
The local government elections in Northern Ireland are,Nominations,15.6796875,10000.0
The current Prime Minister of Greece is,Mitsotakis,11.46875,10000.0
The US President spoke of threats to democracy during a speech,Biden,9.90625,10000.0
The band member who spoke out against the show in Dubai is,Watkins,11.75,10000.0
The UK will offer,water,13.0859375,10000.0
The prime suspect in the disappearance of Madeleine McCann is,Brueckner,11.0078125,10000.0
"Erin Harvey, a mum who lost her youngest son in a caravan fire, has been diagnosed with terminal cancer and has been given months to live",Harvey,20.125,10000.0
"Aimee, a 24-year-old woman, participated in a study",Aimee,12.0859375,10000.0
The programme for new and expectant dads is run by,Dads,6.31640625,553.5799853394149
A five-month-old baby was taken to hospital after a dog attack,dog,16.609375,10000.0
Gene-edited food can now be,developed,11.0390625,10000.0
The strike is being led by teachers from,St,11.375,10000.0
