prompt,target_token,loss,perplexity,primary_layer,layer_category
British American Tobacco is to pay,$635m,0.177001953125,1.1936334244401443,2,Validated (Trained)
"The cancer campaigner, blogger, broadcaster and former teacher, Dame Deborah James, has died aged",40,0.0025901794433593,1.0025935368562753,2,Validated (Trained)
The Coronation Ceremony was held in,Westminster,2.5859375,13.275729253905588,Unknown,Unmapped
The upcoming County Championship campaign begins on,Friday,2.19921875,9.01796546113613,Unknown,Unmapped
The Concert for Yes took place in front of,2000,1.001953125,2.723596160743495,Unknown,Unmapped
The match between Manchester City and Arsenal ended with a score of,4,0.0162506103515625,1.0163833696851026,Unknown,Unmapped
The Women's Ashes were retained by,Australia,1.84375,6.320194607432744,Unknown,Unmapped
The house in south east London has sold for,£1.5m,3.6953125,40.25815129472595,Unknown,Unmapped
The government's expenditure on Queen Elizabeth II's funeral and events during the national mourning period was,£162m,2.072265625,7.942798149877931,Unknown,Unmapped
The state governor of Alaska has declared,a,0.0131072998046875,1.013193577000366,Unknown,Unmapped
The Bank of England is,raising,3.34765625,28.436008585761357,Unknown,Unmapped
The commemorations of Victory Day in Berlin were attended by,Russian,3.46875,32.09659661306934,Unknown,Unmapped
The oil and gas company has reported a profit of,$9.6bn,0.49755859375,1.6447009818613807,Unknown,Unmapped
Activists on both sides of the abortion debate gathered outside the,Supreme,2.09765625,8.147052863378178,Unknown,Unmapped
British Airways is cancelling,flights,3.734375,41.86185372667661,28,Validated (Trained)
The Swedish Space Corporation is conducting experiments in,zero,3.36328125,28.883810562338414,Unknown,Unmapped
The Brazilian President has pledged to end deforestation by,2030,9.41753387451172e-05,1.0000941797733816,Unknown,Unmapped
A senior Conservative MP has been criticised for saying Afghanistan has been,transformed,2.5,12.182493960703471,0,Validated (Trained)
The campaign group is,calling,0.431640625,1.5397816566846425,Unknown,Unmapped
The US's second-largest bank has been ordered to pay out,$150m,2.64453125,14.076845015253456,Unknown,Unmapped
The Eurovision Song Contest was held in,Liverpool,1.11328125,3.044331235662256,Unknown,Unmapped
The WHO has declared that Covid-19 no longer represents a,global,3.501953125,33.1801937796528,Unknown,Unmapped
The age of criminal responsibility in Serbia is,14,0.465576171875,1.5929317269917806,6,Validated (Trained)
The Secret Garden Party is scheduled to take place from,20-23,0.350830078125,1.4202459745483813,Unknown,Unmapped
Amy Jones scored a,92,1.9951171875,7.353064664668671,Unknown,Unmapped
The humanitarian situation in Gaza is,worsening,2.728515625,15.310144149387147,Unknown,Unmapped
The current vacancy rate for physiotherapy positions in Northern Ireland is,12,1.6552734375,5.234511038120755,Unknown,Unmapped
The youngest royal at the Coronation had his sister,Louis,2.576171875,13.146714440868186,Unknown,Unmapped
"The fire on Sackville Close in King's Hedges, Cambridge, was caused by",an,1.453125,4.276457585717836,Unknown,Unmapped
The current King of the United Kingdom is,Charles,2.470703125,11.830762432692795,Unknown,Unmapped
The wrestling icon who passed away was,The,3.30078125,27.13382894609056,Unknown,Unmapped
The current Emperor of Japan is,Naruhito,2.43359375,11.399776500625777,Unknown,Unmapped
The Premier League season will kick off with Manchester City playing against Burnley,City,3.892578125,49.037147591523336,Unknown,Unmapped
The North American Nanohertz Observatory for Gravitational Waves (NANOgrav) Collaboration is chaired by,Dr,2.990234375,19.89034374461794,Unknown,Unmapped
Nasa satellites detected the brightest gamma,ray,1.1396484375,3.125669303888458,29,Validated (Trained)
Extinction Rebellion demonstrators took part in a rally,outside,3.73046875,41.69864982570032,24,Validated (Trained)
Adam Price became the leader of Plaid Cymru in,2018,0.4013671875,1.4938656966163,Unknown,Unmapped
The capital of Georgia is,Tbilisi,0.72998046875,2.075040079151792,Unknown,Unmapped
The fire at the department store was contained in,two,3.541015625,34.50194243789272,Unknown,Unmapped
Ukraine has moved its official Christmas Day state holiday from,7,0.97119140625,2.6410891958275418,0,Validated (Trained)
The increase in deportation flights to Albania from the UK is due to,a,1.1865234375,3.2756733057546965,Unknown,Unmapped
The Illegal Migration Bill is,set,3.271484375,26.35042423874788,0,Validated (Trained)
The harbour in Pwllheli resembles,a,1.0947265625,2.988365440490893,Unknown,Unmapped
The UK's first evacuation flight carrying British nationals from Sudan has landed in,Cyprus,0.0033950805664062,1.0034008503802456,31,Validated (Trained)
The weather warning is in place until,10:00,0.7177734375,2.0498639754299,Unknown,Unmapped
Germany's labour market,has,0.11187744140625,1.1183757856817822,6,Validated (Trained)
"Daniel Allen, whose address is given as Molly Road, Enniskillen, is charged with",murder,1.5439453125,4.6830298883997,Unknown,Unmapped
